asset_code,asset_name,room_code,quantity,asset_category,status,manufacturer,model,note
SW-1-1F-01,楼层交换机,弱电井-1-1F,1,weak_current,in_use,华为,S5735-L24T4X,接入层24口千兆
SW-1-1F-02,无线AP控制器,弱电井-1-1F,1,weak_current,in_use,华为,AC6508,管理本楼层AP
AP-1-1F-01,无线接入点,弱电井-1-1F,1,weak_current,in_use,华为,AP6050DN,走廊覆盖
PP-1-1F-01,24口配线架,弱电井-1-1F,1,weak_current,in_use,康普,,
SW-1-2F-01,楼层交换机,弱电井-1-2F,1,weak_current,in_use,华为,S5735-L24T4X,接入层24口千兆
AP-1-2F-01,无线接入点,弱电井-1-2F,2,weak_current,in_use,华为,AP6050DN,宿舍区覆盖
PP-1-2F-01,24口配线架,弱电井-1-2F,1,weak_current,in_use,康普,,
SW-1-3F-01,楼层交换机,弱电井-1-3F,1,weak_current,in_use,H3C,S5560S-28S-EI,
AP-1-3F-01,无线接入点,弱电井-1-3F,2,weak_current,in_use,H3C,WA6330,
PP-1-3F-01,24口配线架,弱电井-1-3F,1,weak_current,in_use,安普,,
SW-1-4F-01,楼层交换机,弱电井-1-4F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-1-4F-01,无线接入点,弱电井-1-4F,2,weak_current,in_use,华为,AP6050DN,
PP-1-4F-01,24口配线架,弱电井-1-4F,1,weak_current,in_use,康普,,
CR-1-01,核心汇聚交换机,网络机房-1,1,weak_current,in_use,华为,CE6870-48S6CQ-EI,千兆上行
UPS-1-01,UPS不间断电源,网络机房-1,1,weak_current,in_use,山特,C3KS,3KVA
PDU-1-01,机柜PDU插排,网络机房-1,2,weak_current,in_use,威图,,
RACK-1-01,42U网络机柜,网络机房-1,1,weak_current,in_use,图腾,G26842,,
SW-2-1F-01,楼层交换机,弱电井-2-1F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-2-1F-01,无线接入点,弱电井-2-1F,2,weak_current,in_use,华为,AP6050DN,
PP-2-1F-01,24口配线架,弱电井-2-1F,1,weak_current,in_use,康普,,
SW-2-2F-01,楼层交换机,弱电井-2-2F,1,weak_current,in_use,H3C,S5560S-28S-EI,
AP-2-2F-01,无线接入点,弱电井-2-2F,2,weak_current,in_use,H3C,WA6330,
PP-2-2F-01,24口配线架,弱电井-2-2F,1,weak_current,in_use,安普,,
SW-2-3F-01,楼层交换机,弱电井-2-3F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-2-3F-01,无线接入点,弱电井-2-3F,2,weak_current,in_use,华为,AP6050DN,
PP-2-3F-01,24口配线架,弱电井-2-3F,1,weak_current,in_use,康普,,
SW-2-4F-01,楼层交换机,弱电井-2-4F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-2-4F-01,无线接入点,弱电井-2-4F,2,weak_current,in_use,华为,AP6050DN,
PP-2-4F-01,24口配线架,弱电井-2-4F,1,weak_current,in_use,康普,,
CR-2-01,核心汇聚交换机,网络机房-2,1,weak_current,in_use,H3C,S10508,
UPS-2-01,UPS不间断电源,网络机房-2,1,weak_current,in_use,山特,TG3000,3KVA
RACK-2-01,42U网络机柜,网络机房-2,2,weak_current,in_use,图腾,G26842,
SW-3-1F-01,楼层交换机,弱电井-3-1F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-3-1F-01,无线接入点,弱电井-3-1F,2,weak_current,in_use,华为,AP6050DN,
SW-3-2F-01,楼层交换机,弱电井-3-2F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-3-2F-01,无线接入点,弱电井-3-2F,2,weak_current,in_use,华为,AP6050DN,
SW-3-3F-01,楼层交换机,弱电井-3-3F,1,weak_current,in_use,H3C,S5560S-28S-EI,
AP-3-3F-01,无线接入点,弱电井-3-3F,2,weak_current,in_use,H3C,WA6330,
CR-3-01,汇聚交换机,网络机房-3,1,weak_current,in_use,华为,S7706,
UPS-3-01,UPS不间断电源,网络机房-3,1,weak_current,maintenance,山特,C2KS,2KVA 维修中
SW-JA-1F-01,楼层交换机,弱电井-JA-1F,1,weak_current,in_use,华为,S5735-L48T4X,48口
AP-JA-1F-01,无线接入点,弱电井-JA-1F,4,weak_current,in_use,华为,AP7052DE,吸顶式
SW-JA-2F-01,楼层交换机,弱电井-JA-2F,1,weak_current,in_use,华为,S5735-L48T4X,
AP-JA-2F-01,无线接入点,弱电井-JA-2F,4,weak_current,in_use,华为,AP7052DE,
SW-JA-3F-01,楼层交换机,弱电井-JA-3F,1,weak_current,in_use,华为,S5735-L48T4X,
AP-JA-3F-01,无线接入点,弱电井-JA-3F,4,weak_current,in_use,华为,AP7052DE,
CR-JA-01,核心路由交换机,网络中心机房,1,weak_current,in_use,华为,NE40E-X3,
FW-JA-01,防火墙,网络中心机房,1,weak_current,in_use,华为,USG6555E,
SERVER-JA-01,网管服务器,网络中心机房,2,weak_current,in_use,华为,RH2288H V5,
UPS-JA-01,UPS不间断电源,网络中心机房,1,weak_current,in_use,科华,YTR3320,20KVA
RACK-JA-01,42U网络机柜,网络中心机房,4,weak_current,in_use,图腾,G26842,
SW-XZ-1F-01,配线总交换机,弱电总配线间,1,weak_current,in_use,华为,S7703,三层汇聚
ODF-XZ-01,光纤配线架,弱电总配线间,2,weak_current,in_use,通鼎,ODF-144,144芯
UPS-XZ-01,UPS不间断电源,弱电总配线间,1,weak_current,in_use,艾默生,GXE10K,10KVA
RACK-XZ-01,机柜,弱电总配线间,3,weak_current,in_use,图腾,G26842,
SW-XZ-2F-01,楼层交换机,弱电井-XZ-2F,1,weak_current,in_use,华为,S5735-L24T4X,
AP-XZ-2F-01,无线接入点,弱电井-XZ-2F,3,weak_current,in_use,华为,AP6050DN,
